Gene ID	Gene Name	ERR1736465	ERR1736466	ERR1736467	ERR1736468	ERR1736469	ERR1736470
ENSG00000000003	TSPAN6	434	829	334	779	578	602
ENSG00000000005	TNMD	0	0	0	0	0	0
ENSG00000000419	DPM1	2202	3461	1627	4241	3676	3946
ENSG00000000457	SCYL3	45	72	31	119	69	92
ENSG00000000460	C1orf112	320	558	235	516	468	417
ENSG00000000938	FGR	0	10	0	0	0	0
ENSG00000000971	CFH	1	1	0	0	0	2
ENSG00000001036	FUCA2	1987	3071	1599	3645	3121	3206
ENSG00000001084	GCLC	1854	2734	1412	2355	1952	1806
ENSG00000001167	NFYA	888	1375	526	1390	1163	1206
ENSG00000001460	STPG1	0	0	0	362	269	276
ENSG00000001461	NIPAL3	203	330	177	1001	927	913
ENSG00000001497	LAS1L	552	887	411	1202	992	1177
ENSG00000001561	ENPP4	320	845	367	725	587	517
ENSG00000001617	SEMA3F	7	23	7	137	95	184
ENSG00000001626	CFTR	0	0	0	0	0	0
ENSG00000001629	ANKIB1	953	1767	978	1683	1193	1206
ENSG00000001630	CYP51A1	0	0	0	0	0	0
ENSG00000001631	KRIT1	8	34	13	10	18	29
ENSG00000002016	RAD52	79	176	61	155	106	128
ENSG00000002079	MYH16	0	0	1	1	1	0
ENSG00000002330	BAD	486	866	370	1986	1584	2150
ENSG00000002549	LAP3	1193	1808	876	2716	2266	2542
ENSG00000002586	CD99	1454	2144	993	4130	3108	3753
ENSG00000002587	HS3ST1	0	0	1	10	5	7
ENSG00000002726	AOC1	2	3	0	0	0	0
ENSG00000002745	WNT16	0	0	0	3	0	0
ENSG00000002746	HECW1	3	5	2	6	5	5
ENSG00000002822	MAD1L1	0	2	0	1	2	2
ENSG00000002834	LASP1	3901	6463	2821	11693	7228	10886
ENSG00000002919	SNX11	132	196	62	317	269	256
ENSG00000002933	TMEM176A	0	0	0	0	0	0
ENSG00000003056	M6PR	818	1263	646	1832	1354	1220
ENSG00000003096	KLHL13	2	13	6	14	4	6
